smile,canonical_ikey,name,source,source_id,status,reframedb_url
COC1(/C=C/COCc2ccc3c(ccc(=O)n3C)c2)CCOC(C)C1,RNNGLWJRPPELGN,A 121798,WuXi,CBR-HVAC-11372,plated and available for follow-up,https://reframedb.org//compound_data/RNNGLWJRPPELGN;qid=nan
CCCn1cnc2c1c(=O)n(CCCCC(C)(C)O)c(=O)n2C,SBKAARSDXHSHSM,A 802715,WuXi,CBR-HVAC-13203,plated and available for follow-up,https://reframedb.org//compound_data/SBKAARSDXHSHSM;qid=Q83013725
CC(C)(/C=N/OCC(=O)O)Cc1c(SC(C)(C)C)c2cc(OCc3ccc4ccccc4n3)ccc2n1Cc1ccc(Cl)cc1,GCWOCVTZGLAYIS,A 81834,WuXi,CBR-HVAC-11104,plated and available for follow-up,https://reframedb.org//compound_data/GCWOCVTZGLAYIS;qid=nan
CC(C)(C)c1nc(N2CCN(CCCSc3nccc(O)n3)CC2)cc(C(F)(F)F)n1,KXVAICSRMHXLJN,A-437203; ABT-925,WuXi,CBR-HVAC-05152,plated and available for follow-up,https://reframedb.org//compound_data/KXVAICSRMHXLJN;qid=Q27276936
C[C@H](c1ccccc1)n1cncc1C(=O)OCC(=O)CO,TZHOSBZHZMOEGH,ABP-700,WuXi,CBR-HVAC-07410,plated and available for follow-up,https://reframedb.org//compound_data/TZHOSBZHZMOEGH;qid=nan
O=C(NCc1ccccn1)C(=O)C(Cc1ccccc1)NC(=O)C1CCC(=O)N1Cc1ccccc1,VBRYNLHJJUQPDB,ABT-957,WuXi,CBR-HVAC-13987,plated and available for follow-up,https://reframedb.org//compound_data/VBRYNLHJJUQPDB;qid=nan
CC(=O)Oc1cc(OC(C)=O)c2c(c1)O[C@H](c1cc(OC(C)=O)c(OC(C)=O)c(OC(C)=O)c1)[C@H](OC(=O)c1cc(OC(C)=O)c(OC(C)=O)c(OC(C)=O)c1)C2,SVHJCTSSYQPWEV,AcEGCG,WuXi,CBR-HVAC-06149,plated and available for follow-up,https://reframedb.org//compound_data/SVHJCTSSYQPWEV;qid=Q105262004
COc1ccc(Cc2cccc(-c3c(OC(C)=O)c4ccc(Cl)cc4[nH]c3=O)c2)cc1,XKEBPNSKHSXNLU,AcL-703,WuXi,CBR-HVAC-10980M1,plated and available for follow-up,https://reframedb.org//compound_data/XKEBPNSKHSXNLU;qid=Q76414713
Cc1c[nH]c2c1C13CC1CN(C(=O)c1cc4cc(NC(=O)c5cc6ccccc6o5)ccc4[nH]1)C3=CC2=O,BYRVKDUQDLJUBX,adozelesin; Adosar,WuXi,CBR-HVAC-03504,plated and available for follow-up,https://reframedb.org//compound_data/BYRVKDUQDLJUBX;qid=Q76393575
Cc1c(NC2=NCCN2)cc(C#N)c2[nH]cnc12,GONXJTJRZCPBLD,PGE-6134091; AR-08,WuXi,CBR-HVAC-13728,plated and available for follow-up,https://reframedb.org//compound_data/GONXJTJRZCPBLD;qid=nan
